Tuiren, HAT-P-36, TYC 3020-2221-1, UCAC4 675-056465
Tupi, HD 23079, TYC 8500-534-1, UCAC4 186-003364
Tupa, HD 108147, TYC 8983-384-1, UCAC4 130-068352
Tureis, HR 3185
Ukdah, HR 3845
Uklun, HD 102117, TYC 8642-742-1, UCAC4 157-075401
Unukalhai, HR 5854
Unurgunite, HR 2646
Uruk, HD 231701, TYC 1601-1129-1, UCAC4 533-097568
Vega, HR 7001
Veritate, HR 8930
Vindemiatrix, HR 4932
Wasat, HR 2777
Wazn, HR 2040
Wezen, HR 2693
Wurren, HR 338
Xamidimura, HR 6247
Xihe, HR 7043, HD 173416, TYC 2649-1153-1, UCAC4 633-063725
Xuange, HR 5351
Yed Posterior, HR 6075
Yed Prior, HR 6056
Yildun, HR 6789
Zaniah, HR 4689
Zaurak, HR 1231
Zavijava, HR 4540
Zhang, HR 3903
Zibal, HR 984
Zosma, HR 4357
Zubenelgenubi, HR 5531
Zubenelhakrabi, HR 5787
Zubeneschamali, HR 5685
