Mouchez	82.78	78.38	333.18	AA
Barocius	82.72	-44.98	16.81	AA
Rabbi Levi	82.44	-34.78	23.46	AA
Dorsa Dana	82.31	2.26	89.6	DO
Hase	82.08	-29.37	62.68	AA
Geminus	81.98	34.42	56.66	AA
Hubble	81.84	22.29	86.91	AA
Sasserides	81.74	-39.28	350.56	AA
Jeans	81.13	-55.58	91.51	AA
Anaximenes	81.12	72.49	315.02	AA
Archimedes	81.04	29.72	356.01	AA
Dorsa Andrusov	80.98	-1.56	56.77	DO
Al-Biruni	80.41	18.07	92.62	AA
La Pérouse	80.4	-10.67	76.28	AA
Rimae Sulpicius Gallus	80	20.65	9.99	RI
Pitiscus	79.85	-50.61	30.57	AA
Aliacensis	79.65	-30.6	5.13	AA
Gauricus	79.64	-33.91	347.26	AA
Hagecius	79.55	-59.92	46.63	AA
Nobile	79.27	-85.28	53.27	AA
Colombo	79.02	-15.26	46.02	AA
Zagut	78.92	-31.94	21.89	AA
Fabricius	78.9	-42.75	41.84	AA
Gibbs	78.76	-18.37	84.27	AA
Peary	78.75	88.63	24.4	AA
Oken	78.67	-43.76	76.09	AA
Hartwig	78.46	-6.14	279.53	AA
Nasmyth	78.37	-50.49	303.61	AA
Lacus Lenitatis	78.25	14.32	12.05	LC
Legendre	78.08	-28.92	70.02	AA
Rimae Posidonius	78	32.03	29.61	RI
Ganswindt	77.52	-79.42	111.17	AA
Cuvier	77.3	-50.29	9.69	AA
Montanari	77.05	-45.83	339.24	AA
Biela	77.03	-54.99	51.63	AA
Petermann	76.95	74.35	67.89	AA
Clairaut	76.89	-47.84	13.86	AA
Chapman	76.83	50.09	259.53	AA
Galvani	76.83	49.51	275.44	AA
Lacus Spei	76.67	43.46	65.2	LC
Mons Bradley	76.49	21.73	0.38	MO
Mutus	76.33	-63.65	29.93	AA
Flammarion	76.18	-3.33	356.27	AA
Dorsa Sorby	76.03	18.65	13.7	DO
Licetus	75.42	-47.19	6.54	AA
McLaughlin	75.29	47.01	267.17	AA
Berosus	75.24	33.5	69.99	AA
Rimae Fresnel	75	28.11	3.73	RI
Rimae Ritter	75	3.5	17.97	RI
Condorcet	74.85	12.1	69.58	AA
Rima Messier	74.22	-0.76	44.55	RI
Hédervári	74.14	-81.77	85.6	AA
Jansky	73.77	8.63	89.5	AA
Jenner	73.66	-42.01	95.98	AA
Vega	73.51	-45.41	63.27	AA
Oenopides	73.47	57.13	295.8	AA
Reiner Gamma	73.44	7.39	301.04	AL
Mons Rümker	73.25	40.76	301.62	MO
Goclenius	73.04	-10.05	45.03	AA
Olbers	73.02	7.3	283.86	AA
Avicenna	72.99	39.63	262.72	AA
Nearch	72.79	-58.58	39.01	AA
Lacus Odii	72.68	19.22	7.27	LC
Malapert	72.38	-85	11.4	AA
Boltzmann	72.31	-74.82	269.59	AA
Riccius	71.79	-37.02	26.43	AA
Bettinus	71.78	-63.4	314.84	AA
Stevinus	71.54	-32.49	54.14	AA
Young	71.44	-41.54	50.98	AA
Philolaus	71.44	72.22	327.12	AA
Kircher	71.2	-67.01	314.52	AA
Lavoisier	71.01	38.17	278.75	AA
Rimae Maestlin	71	2.88	319.52	RI
Rheita	70.81	-37.1	47.17	AA
Sinus Fidei	70.7	17.99	2.04	SI
Parrot	70.66	-14.57	3.29	AA
Gutenberg	70.65	-8.61	41.25	AA
Lacus Perseverantiae	70.64	7.84	61.93	LC
Nonius	70.61	-34.9	3.79	AA
Werner	70.59	-28.03	3.29	AA
Hainzel	70.56	-41.23	326.48	AA
Eudoxus	70.16	44.27	16.23	AA
Bohr	70.07	12.71	273.48	AA
Promontorium Taenarium	70	-18.63	352.66	PR
Rimae Gassendi	70	-17.47	320.13	RI
Rima Billy	69.82	-14.74	311.96	RI
Plutarch	69.59	24.18	79.05	AA
Catena Taruntius	69.24	3.04	48.71	CA
Balboa	69.19	19.24	276.69	AA
Florey	69.06	87.04	340.25	AA
Faraday	69.03	-42.45	8.75	AA
Simpelius	68.89	-72.61	14.74	AA
Anaximander	68.71	66.97	308.56	AA
Omar Khayyam	68.64	58.21	257.78	AA
Doerfel	68.63	-68.97	251.47	AA
Zach	68.54	-60.92	5.25	AA
Stadius	68.48	10.48	346.23	AA
Fernelius	68.42	-38.18	4.86	AA
Le Monnier	68.4	26.66	30.5	AA
Hercules	68.32	46.82	39.21	AA
Rima Artsimovich	68.06	26.66	321.35	RI
Short	67.94	-74.54	352.32	AA
Segner	67.84	-58.96	311.32	AA
Rima T. Mayer	67.81	13.26	328.63	RI
Kiess	67.79	-6.41	84.11	AA
Lyapunov	67.58	26.43	89.36	AA
Poncelet	67.57	75.91	305.43	AA
La Caille	67.22	-23.68	1.08	AA
Zsigmondy	66.88	59.52	254.7	AA
Zeno	66.78	45.15	72.98	AA
Wilson	66.57	-69.33	317.17	AA
Haskin	66.57	81.51	133.16	AA
Weiss	66.56	-31.76	340.41	AA
