    PK12F020  2013 04 13.2094  2.894344  0.542680   33.2620  227.0542   14.7237  20201215  12.0  4.0  P/2012 F2 (PANSTARRS)                                    MPC 84931
    PK12G010  2012 06  1.4325  2.584166  0.380722  286.1149  282.5440   11.6925            15.0  4.0  P/2012 G1 (PANSTARRS)                                    MPC 79344
    PK12K030  2019 08 17.5029  2.089920  0.423452  172.1542  125.8087   13.1946  20201215  15.0  4.0  P/2012 K3 (Gibbs)                                        MPC 80898
    PK12N00J  2012 06 13.1412  1.291433  0.847338  338.3320  315.5473   84.6592  20201215  14.5  4.0  P/2012 NJ (La Sagra)                                     MPC 88326
    PK12O010  2019 03  2.4563  1.435388  0.594552  238.2222   91.9820    7.4325  20201215  17.5  4.0  P/2012 O1 (McNaught)                                     MPC 81470
    PK12O020  2019 05  6.1255  1.692777  0.532792  183.4095  120.6789   24.4863  20201215  17.0  4.0  P/2012 O2 (McNaught)                                     MPC 80899
    PK12O030  2022 05 29.7604  1.615043  0.646957  344.7121  336.4105   16.6148  20201215  16.5  4.0  P/2012 O3 (McNaught)                                     MPC 82720
    PK12S020  2021 10 31.7865  1.362270  0.691210  312.4973   51.1924    8.6870  20201215  17.0  4.0  P/2012 S2 (La Sagra)                                     MPC 82720
    PK12T020  2027 01 16.0022  4.814183  0.160870  310.4308   73.7280   12.5567  20201215  10.0  4.0  P/2012 T2 (PANSTARRS)                                    MPC 82320
    PK12T030  2027 08  5.5857  2.354939  0.617223  195.4497  114.4071    9.5683  20201215  15.0  4.0  P/2012 T3 (PANSTARRS)                                    MPC 80900
    PK12T08K  2021 10 25.8315  2.995868  0.274262  127.9568  288.9674    6.3403  20201215  13.0  4.0  P/2012 TK8 (Tenagra)                                     MPC 87914
    PK12U020  2012 11  8.1826  3.585588  0.497950  228.3066  185.2793   10.7504  20201215  12.5  4.0  P/2012 U2 (PANSTARRS)                                    MPC 82720
    PK12U27S  2024 10 22.3485  1.821360  0.647457    0.8145   49.1728   39.3329  20201215  13.5  4.0  P/2012 US27 (Siding Spring)                              MPC 84024
    PK12W34A  2023 06 30.7488  3.121103  0.343822  353.4315   94.3947    6.1100  20201215  13.5  4.0  P/2012 WA34 (Lemmon-PANSTARRS)                           MPC 82721
    PK13A020  2021 02 15.7718  2.189973  0.454426  134.5371  355.8120    3.3613  20201215  15.5  4.0  P/2013 A2 (Scotti)                                       MPC 84024
    PK13A76L  2012 12  9.9345  2.039613  0.686101   27.1157  145.9647  144.8236  20201215  16.0  4.0  P/2013 AL76 (Catalina)                                   MPC 82721
    PK13E90W  2021 02 15.6720  3.314072  0.194921  346.3306  160.2948   31.7889  20201215  12.0  4.0  P/2013 EW90 (Tenagra)                                    MPC 88695
    PK13G010  2013 12 13.5033  3.353645  0.513107   51.3934  221.4026    5.4672  20201215  11.0  4.0  P/2013 G1 (Kowalski)                                     MPC 91612
    PK13G040  2022 06 19.5027  2.621105  0.409599  214.7054  339.6421    5.9162  20201215  15.0  4.0  P/2013 G4 (PANSTARRS)                                    MPC 84025
    PK13J020  2013 08 27.4723  2.131334  0.657523   37.7314  289.4253   15.5342  20201215  13.0  4.0  P/2013 J2 (McNaught)                                     MPC 91613
    PK13N030  2014 02 15.1011  3.007397  0.593098  323.8603   17.4893    2.1733  20201215  13.0  4.0  P/2013 N3 (PANSTARRS)                                    MPC 86229
    PK13N050  2013 07  2.1956  1.823250  0.731847  176.8867  187.1660   23.4227  20201215  17.0  4.0  P/2013 N5 (PANSTARRS)                                    MPC 85834
    PK13P010  2013 03  1.8971  3.375521  0.606070  138.1032  160.6166   18.7208  20201215  12.0  4.0  P/2013 P1 (PANSTARRS)                                    MPC 85834
    PK13R030  2018 12  6.7654  2.199373  0.275081   11.1596  342.0006    0.8654  20201215  14.0  4.0  P/2013 R3 (Catalina-PANSTARRS)                           MPC 94671
    PK13R03a  2018 12  6.6429  2.199363  0.275051   11.1985  341.9675    0.8648  20201215   9.0  4.0  P/2013 R3-A (Catalina-PANSTARRS)                         unp
    PK13R03b  2018 12  6.8306  2.199383  0.275096   11.1334  342.0233    0.8660  20201215   9.0  4.0  P/2013 R3-B (Catalina-PANSTARRS)                         MPEC 2015-M77
    PK13T010  2027 10 10.6372  2.206059  0.623628  346.0808   10.0880   24.2761  20201215  16.5  4.0  P/2013 T1 (PANSTARRS)                                    MPC 85835
    PK13T020  2019 11 30.5996  1.740605  0.501181  345.4853    0.8157    9.4560  20201215  16.0  4.0  P/2013 T2 (Schwartz)                                     MPC 86643
    PK13W010  2020 09 10.3072  1.421379  0.592844    1.2930  117.8477    4.6954  20201215  17.5  4.0  P/2013 W1 (PANSTARRS)                                    MPC 91613
    CK13X010  2016 04 19.4451  1.323562  1.000455  165.1722  131.5712  163.1944  20201215  10.5  2.0  C/2013 X1 (PANSTARRS)                                    MPC111767
    PK13Y46G  2023 01  6.0183  1.785917  0.454908  242.5012   48.8649    7.8558  20201215  10.0  4.0  P/2013 YG46 (Spacewatch)                                 MPC101095
    PK14A020  2013 10 15.3331  2.101132  0.645456  356.2366  106.6291   24.5414  20201215  15.0  4.0  P/2014 A2 (Hill)                                         MPC 89728
    PK14A030  2023 04 17.3567  3.486042  0.246953  212.9522  230.1738   13.6820  20201215  12.0  4.0  P/2014 A3 (PANSTARRS)                                    MPC 92981
    CK14B010  2017 09  8.8677  9.553808  0.998968  345.7771  161.4131   28.4061  20201215   4.0  4.0  C/2014 B1 (Schwartz)                                     MPC119994
    PK14C010  2019 04 13.4071  1.679258  0.447692   24.0439  167.7635    2.6860  20201215  15.5  4.0  P/2014 C1 (TOTAS)                                        MPC102095
    PK14E010  2021 07 20.2272  2.139912  0.423467  186.0274   39.0285   15.9765  20201215  14.0  4.0  P/2014 E1 (Larson)                                       MPC 91614
